"AGREEMENT_RK","TARGET","CLIENT_ID","AGE","SOCSTATUS_WORK_FL","SOCSTATUS_PENS_FL","GENDER","CHILD_TOTAL","DEPENDANTS","PERSONAL_INCOME","LOAN_NUM_TOTAL","LOAN_NUM_CLOSED"
61534026,0,106807861,28,1,0,0,1,1,24.0,1,0
65421532,0,106813461,23,0,1,1,0,0,1950.0,1,1
61964706,0,106808451,52,1,0,0,0,0,2000.0,1,0
66528753,0,106814212,34,1,0,1,2,2,2000.0,2,2
62382964,0,106809592,54,0,1,1,0,0,2100.0,1,0
59933024,0,106804572,49,1,0,1,1,1,2300.0,1,1
74018665,0,106817702,58,0,1,1,3,0,2800.0,2,2
61256447,0,106806807,51,0,1,1,1,0,3000.0,1,1
62088138,0,106808841,60,0,1,1,2,0,3000.0,1,0
61454441,0,106807572,53,1,0,1,0,0,3000.0,2,2
66516742,0,106814152,57,0,1,1,2,0,3000.0,2,2
62390713,0,106809647,36,1,0,1,1,1,3000.0,1,0
74540442,0,106818380,48,1,0,0,2,1,3000.0,4,3
60400861,0,106805479,62,0,1,1,0,0,3000.0,1,0
59923663,1,106804476,57,0,1,1,0,0,3000.0,1,1
59923663,1,106804476,57,0,1,1,0,0,3000.0,1,1
64565052,0,106812485,52,1,0,1,0,0,3000.0,1,0
60444542,0,106805513,33,1,0,0,1,0,3000.0,1,0
65417401,0,106813415,26,1,0,1,1,1,3000.0,1,1
62257530,1,106809410,48,1,0,1,2,0,3000.0,2,1
61527012,0,106807793,57,0,1,1,1,0,3100.0,1,0
61105071,0,106806075,56,0,1,1,2,0,3100.0,1,0
64360410,0,106811918,24,1,0,1,0,0,3100.0,1,0
74171853,0,106817882,63,0,1,1,3,0,3200.0,1,1
65419359,0,106813437,23,0,1,1,0,0,3200.0,1,1
60453892,0,106805600,58,0,1,1,0,0,3200.0,1,0
61466724,0,106807653,59,0,1,1,2,0,3200.0,1,0
61466724,0,106807653,59,0,1,1,2,0,3200.0,1,0
59929169,0,106804534,33,1,0,1,2,2,3300.0,1,1
61128204,0,106806290,57,0,1,1,0,0,3400.0,1,1
72277314,0,106817149,43,1,0,1,2,2,3500.0,2,1
61028578,0,106805813,57,0,1,1,0,0,3500.0,1,1
62365346,0,106809465,35,0,1,1,0,0,3500.0,1,0
62255715,0,106809393,45,1,0,1,0,0,3500.0,2,0
61112942,0,106806158,33,0,1,1,1,1,3500.0,1,0
62142616,0,106809023,52,0,1,1,0,0,3500.0,1,0
74193144,0,106818001,32,1,0,1,1,1,3500.0,2,2
62256345,0,106809399,52,1,0,1,1,0,3500.0,2,1
61305208,0,106806951,36,0,1,0,0,0,3500.0,1,0
60467768,0,106805724,61,0,1,1,0,0,3500.0,1,1
60094600,0,106805062,57,0,1,1,3,1,3500.0,1,0
61849465,0,106808041,54,1,0,1,3,0,3500.0,1,0
66744580,0,106814625,32,1,0,1,2,2,3500.0,3,3
63602002,0,106811169,48,0,1,1,0,0,3500.0,1,0
74560187,0,106818495,57,1,1,1,2,0,3500.0,3,2
62386594,0,106809614,57,0,1,1,2,0,3600.0,1,0
61309788,0,106806987,63,0,1,0,1,0,3700.0,1,0
61963166,0,106808433,56,0,1,1,1,0,3700.0,1,0
74469283,0,106818126,56,0,1,1,0,0,3700.0,1,1
74171742,0,106817881,52,1,0,1,2,0,3700.0,2,2
61447452,0,106807527,46,1,0,1,0,0,3700.0,1,1
61257884,0,106806822,56,0,1,0,5,0,3700.0,1,0
61357797,1,106807088,29,1,0,1,1,1,3800.0,1,0
66596822,0,106814355,57,0,1,1,2,0,3800.0,3,3
61959754,0,106808398,26,1,0,1,0,0,3800.0,1,0
62768926,0,106810327,44,1,0,0,2,0,3900.0,1,0
60454454,0,106805604,53,1,0,1,2,0,3900.0,1,0
62082932,0,106808811,30,1,0,1,1,0,4000.0,1,0
74039053,0,106817821,32,1,0,1,1,1,4000.0,2,1
61246463,0,106806719,61,0,1,1,0,0,4000.0,1,0
66317997,0,106813921,56,0,1,1,1,1,4000.0,2,2
74039049,1,106817820,24,1,0,1,2,2,4000.0,1,0
74039049,1,106817820,24,1,0,1,2,2,4000.0,1,0
61446644,0,106807521,57,0,1,1,2,0,4000.0,2,2
74021439,0,106817726,50,1,0,1,0,0,4000.0,1,0
62601367,0,106810136,58,0,1,1,3,1,4000.0,1,0
60467663,0,106805723,60,0,1,1,0,0,4000.0,1,1
62165961,0,106809082,44,1,0,0,2,0,4000.0,1,0
61518245,0,106807722,56,0,1,0,1,1,4000.0,1,1
74189007,0,106817967,61,0,1,1,0,0,4000.0,2,2
74187717,0,106817954,61,0,1,1,1,0,4000.0,2,2
65569597,0,106813596,22,1,0,1,0,0,4000.0,1,1
66854986,0,106815109,37,0,1,1,0,0,4000.0,3,3
61440024,0,106807485,32,1,0,1,2,2,4000.0,2,1
61154776,0,106806441,41,1,0,1,3,3,4000.0,1,0
74177319,0,106817901,62,0,1,1,0,0,4000.0,1,1
62169414,0,106809090,57,0,1,1,3,0,4000.0,1,0
61370411,0,106807188,24,1,0,0,2,2,4000.0,1,0
74247226,0,106818017,37,1,0,1,1,1,4000.0,3,3
64566381,0,106812494,30,1,0,1,2,2,4000.0,1,0
62427575,0,106809661,55,1,0,1,4,0,4000.0,1,0
62427575,0,106809661,55,1,0,1,4,0,4000.0,1,0
62798697,0,106810408,55,1,0,1,0,0,4000.0,1,0
66781598,0,106814925,45,1,0,1,2,0,4000.0,2,2
72302210,0,106817340,46,1,0,1,0,0,4000.0,1,0
60385539,0,106805381,31,1,0,1,1,1,4000.0,1,0
62444462,0,106809771,54,1,0,0,2,0,4000.0,1,0
63594443,0,106811116,36,1,0,1,0,0,4000.0,2,1
74037606,0,106817813,23,1,0,1,1,1,4000.0,1,0
60383912,0,106805365,29,1,0,1,2,2,4000.0,1,0
63005945,0,106810731,25,1,0,0,0,0,4000.0,1,0
61297230,1,106806905,50,1,0,1,2,0,4000.0,1,0
74245814,0,106818013,44,1,0,1,2,1,4000.0,3,3
62445401,0,106809776,44,0,1,0,2,0,4000.0,1,0
72272938,1,106817126,25,1,0,1,2,2,4000.0,1,0
61351931,0,106807053,40,0,1,1,1,1,4000.0,1,0
66331335,0,106813993,56,0,1,1,2,0,4000.0,2,2
60100102,0,106805112,59,0,1,1,1,0,4000.0,1,0
61163664,0,106806500,53,1,0,1,2,0,4000.0,1,0
62491502,0,106809892,60,0,1,1,2,0,4000.0,1,1
61247598,0,106806726,57,0,1,1,0,0,4000.0,1,1
59970019,0,106804720,59,0,1,1,1,0,4000.0,1,0
59922010,0,106804460,56,1,0,0,3,0,4000.0,1,1
66778938,0,106814906,42,1,0,1,2,0,4000.0,2,2
74009434,0,106817645,48,0,1,1,0,0,4000.0,2,2
61309700,0,106806986,26,1,0,1,1,1,4000.0,1,0
66188907,0,106813767,24,1,0,1,0,0,4000.0,1,0
61955219,0,106808345,64,0,1,0,3,0,4000.0,1,0
61376480,0,106807242,60,0,1,1,4,0,4000.0,1,0
66414157,0,106814088,53,1,0,1,2,1,4000.0,3,3
74534262,0,106818360,60,0,1,1,0,0,4000.0,1,1
66092531,0,106813735,22,1,0,1,0,0,4000.0,1,1
61102892,0,106806056,66,0,1,1,0,0,4000.0,1,0
66597382,0,106814358,55,1,0,1,0,0,4000.0,2,2
66979858,1,106815531,25,1,0,1,1,1,4000.0,1,0
74552815,0,106818454,25,1,0,1,2,1,4000.0,2,1
64340125,0,106811814,47,1,0,0,2,0,4000.0,1,1
61440336,0,106807488,39,1,0,1,1,0,4000.0,2,2
61167694,0,106806530,32,1,0,1,1,1,4000.0,1,0
66330851,0,106813991,42,1,0,1,1,1,4000.0,2,2
61363489,1,106807133,51,0,1,0,1,0,4000.0,1,1
72288788,0,106817233,53,0,1,0,0,0,4000.0,1,0
66839049,0,106815011,47,1,0,1,0,0,4000.0,2,2
60112364,0,106805199,60,0,1,1,3,0,4000.0,1,0
74178827,1,106817906,50,1,0,1,2,2,4000.0,1,1
59915500,0,106804413,59,0,1,1,0,0,4000.0,1,1
62251958,0,106809367,64,0,1,1,2,0,4000.0,1,0
62770387,1,106810335,42,1,0,1,2,1,4000.0,1,0
59975226,0,106804747,62,0,1,1,0,0,4000.0,1,1
60391696,1,106805426,46,1,0,1,2,0,4000.0,1,0
60087999,0,106805009,56,0,1,1,4,0,4000.0,1,0
64834721,0,106812705,23,1,0,0,0,0,4000.0,1,0
74011975,0,106817659,54,1,0,1,2,0,4000.0,1,0
61241583,0,106806681,48,1,0,1,3,0,4000.0,1,0
73847292,0,106817602,29,1,0,1,1,1,4000.0,1,0
74166015,0,106817847,54,1,0,1,2,0,4000.0,2,2
61453074,0,106807566,63,0,1,0,4,0,4000.0,2,1
64899542,0,106812907,58,0,1,1,1,0,4100.0,1,0
74535595,0,106818366,57,0,1,1,2,0,4200.0,1,1
74178172,0,106817903,49,1,0,0,1,0,4200.0,1,1
66537180,0,106814268,37,1,0,1,1,0,4200.0,4,4
60450880,0,106805573,61,0,1,1,0,0,4200.0,1,0
66589572,0,106814318,64,0,1,1,10,1,4200.0,3,3
74033974,0,106817792,53,1,0,1,1,0,4300.0,1,0
61243297,0,106806692,35,1,0,1,2,2,4300.0,1,0
66534226,0,106814254,31,1,0,1,1,1,4300.0,2,2
66082603,0,106813671,23,1,0,1,1,0,4300.0,1,1
74168693,0,106817865,38,1,0,1,2,2,4300.0,1,1
62376987,0,106809547,56,0,1,1,2,0,4300.0,1,0
74028160,0,106817760,22,1,0,1,1,1,4300.0,1,0
75025138,0,106819268,43,1,0,1,3,2,4300.0,4,4
65405359,0,106813351,23,1,0,1,0,0,4300.0,1,1
61128460,0,106806293,44,1,0,1,1,0,4300.0,1,1
60101775,0,106805124,42,1,0,1,3,1,4300.0,1,0
74191705,0,106817987,26,1,0,1,1,1,4300.0,2,1
60099270,0,106805104,31,1,0,1,2,2,4300.0,1,0
62614766,0,106810253,58,0,1,1,0,0,4300.0,1,0
66838366,1,106815008,32,1,0,1,1,1,4300.0,1,1
66838366,1,106815008,32,1,0,1,1,1,4300.0,1,1
63097015,0,106810837,33,1,0,1,2,2,4300.0,1,0
61252377,0,106806775,44,1,0,1,2,0,4300.0,1,0
60456791,0,106805624,33,1,0,1,4,4,4300.0,1,0
62596091,0,106810097,32,1,0,1,0,0,4300.0,1,0
60048041,0,106804843,53,1,0,1,2,1,4300.0,1,0
62617545,0,106810275,34,1,0,1,2,2,4300.0,1,1
66190423,0,106813781,36,1,0,1,1,1,4300.0,1,0
66413044,0,106814080,46,1,0,1,1,1,4300.0,2,2
66891473,0,106815169,31,1,0,1,1,1,4300.0,1,0
61235212,0,106806616,42,1,0,1,2,1,4300.0,1,0
